date,ticker,liquidity_tier,market_cap_bucket,region,sector,return,realized_vol,turnover_usd_m,spread_bps,stress_regime,log_turnover
2024-01-02,STK01,High,Mid,Europe,Healthcare,0.00327,0.02083,116.82,15.83,Calm,4.760634288612163
2024-01-02,STK02,Medium,Small,Europe,Healthcare,-0.01371,0.02819,38.21,21.77,Calm,3.6430972614588084
2024-01-02,STK03,High,Large,Europe,Tech,0.01818,0.0185,188.25,13.59,Calm,5.237770866680003
2024-01-02,STK04,Medium,Mid,US,Healthcare,-0.01535,0.02117,36.81,20.72,Calm,3.60576954739093
2024-01-02,STK05,Medium,Large,Europe,Financials,-0.02262,0.02505,40.31,23.8,Calm,3.6965995771290743
2024-01-02,STK06,Low,Mid,Asia,Tech,-0.00104,0.02546,21.8,34.08,Calm,3.0819099697950434
2024-01-02,STK07,High,Mid,US,Healthcare,-0.02537,0.0207,135.27,13.81,Calm,4.907272781101103
2024-01-02,STK08,Medium,Large,Europe,Healthcare,0.00237,0.01483,51.68,21.39,Calm,3.945070859474346
2024-01-02,STK09,High,Small,Europe,Financials,0.00621,0.02831,129.96,18.1,Calm,4.8672267108008995
2024-01-02,STK10,Low,Small,Asia,Industrials,0.04213,0.02743,26.11,34.89,Calm,3.2623183827110376
2024-01-02,STK11,High,Large,Europe,Financials,0.03172,0.01921,89.09,12.78,Calm,4.489647094732552
2024-01-02,STK12,Medium,Mid,Asia,Tech,0.04068,0.02784,47.33,22.82,Calm,3.8571443439181565
2024-01-02,STK13,Low,Mid,US,Tech,-0.00763,0.01934,15.83,34.22,Calm,2.761906873892921
2024-01-02,STK14,Medium,Mid,US,Healthcare,0.03188,0.02265,47.52,22.23,Calm,3.8611506750543896
2024-01-02,STK15,High,Mid,Asia,Healthcare,-0.00112,0.02294,142.13,12.48,Calm,4.956742131750921
2024-01-02,STK16,High,Mid,Asia,Financials,-0.00673,0.02013,89.22,13.62,Calm,4.491105229700119
2024-01-02,STK17,Medium,Small,Asia,Tech,-0.01521,0.03141,35.53,24.86,Calm,3.5703774100329357
